TIME,FOREIGN,DOMESTIC,MALE,FEMALE,ORIGIN_UNCATEGORIZED,SEX_UNCATEGORIZED,UNCATEGORIZED,LOCATION
27/01/2025,0,0,0,0,0,0,0,RIVERWALK
27/01/2025,836,1147,937,1046,0,0,0,PSL
27/01/2025,172,309,225,256,0,0,0,PRG
27/01/2025,864,2213,1525,1552,0,0,0,PR
27/01/2025,0,0,0,0,0,0,0,PLAZUELA
27/01/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
27/01/2025,14,165,87,92,0,0,0,MDI
27/01/2025,457,4158,2362,2254,0,0,0,FS
27/01/2025,185,331,249,267,0,0,0,CM
27/01/2025,51,357,169,240,0,0,0,CDT
27/01/2025,131,287,206,211,0,0,0,BSD
27/01/2025,0,0,0,0,0,0,0,ASEAN
27/01/2025,26,679,362,343,0,0,0,ALITAPTAP
28/01/2025,0,0,0,0,0,0,0,RIVERWALK
28/01/2025,836,1147,937,1046,0,0,0,PSL
28/01/2025,172,309,225,256,0,0,0,PRG
28/01/2025,864,2213,1525,1552,0,0,0,PR
28/01/2025,0,0,0,0,0,0,0,PLAZUELA
28/01/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
28/01/2025,14,165,87,92,0,0,0,MDI
28/01/2025,457,4158,2362,2254,0,0,0,FS
28/01/2025,185,331,249,267,0,0,0,CM
28/01/2025,51,357,169,240,0,0,0,CDT
28/01/2025,131,287,206,211,0,0,0,BSD
28/01/2025,0,0,0,0,0,0,0,ASEAN
28/01/2025,26,679,361,343,0,0,0,ALITAPTAP
29/01/2025,0,0,0,0,0,0,0,RIVERWALK
29/01/2025,836,1147,937,1046,0,0,0,PSL
29/01/2025,172,309,225,256,0,0,0,PRG
29/01/2025,864,2213,1525,1552,0,0,0,PR
29/01/2025,0,0,0,0,0,0,0,PLAZUELA
29/01/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
29/01/2025,14,165,87,92,0,0,0,MDI
29/01/2025,457,4158,2362,2254,0,0,0,FS
29/01/2025,185,331,249,267,0,0,0,CM
29/01/2025,51,357,169,240,0,0,0,CDT
29/01/2025,130,287,206,211,0,0,0,BSD
29/01/2025,0,0,0,0,0,0,0,ASEAN
29/01/2025,26,679,361,343,0,0,0,ALITAPTAP
30/01/2025,836,1147,937,1046,0,0,0,PSL
30/01/2025,172,309,225,256,0,0,0,PRG
30/01/2025,864,2213,1524,1552,0,0,0,PR
30/01/2025,0,0,0,0,0,0,0,PLAZUELA
30/01/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
30/01/2025,14,165,87,92,0,0,0,MDI
30/01/2025,0,0,0,0,0,0,0,RIVERWALK
30/01/2025,185,331,249,267,0,0,0,CM
30/01/2025,51,357,169,240,0,0,0,CDT
30/01/2025,130,287,206,211,0,0,0,BSD
30/01/2025,0,0,0,0,0,0,0,ASEAN
30/01/2025,26,679,361,343,0,0,0,ALITAPTAP
30/01/2025,457,4158,2362,2253,0,0,0,FS
31/01/2025,0,0,0,0,0,0,0,RIVERWALK
31/01/2025,836,1147,937,1046,0,0,0,PSL
31/01/2025,172,309,225,256,0,0,0,PRG
31/01/2025,864,2213,1524,1552,0,0,0,PR
31/01/2025,0,0,0,0,0,0,0,PLAZUELA
31/01/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
31/01/2025,14,165,87,92,0,0,0,MDI
31/01/2025,457,4158,2362,2253,0,0,0,FS
31/01/2025,185,331,249,267,0,0,0,CM
31/01/2025,51,357,169,240,0,0,0,CDT
31/01/2025,130,286,206,211,0,0,0,BSD
